titulo,link,fonte,data_coleta
"EUA devem autorizar exportações de chips H200 da Nvidia à China, diz fonte",https://www.cnnbrasil.com.br/economia/macroeconomia/eua-devem-autorizar-exportacoes-de-chips-h200-da-nvidia-a-china-diz-fonte/,CNN Brasil,2025-12-08 18:43:41
Juros altos e cartão de crédito para comer empurram famílias ao vermelho,https://www.cnnbrasil.com.br/economia/financas/juros-altos-e-cartao-de-credito-para-comer-empurram-familias-ao-vermelho/,CNN Brasil,2025-12-08 18:43:41
O impacto do Custo Brasil na economia nacional,https://www.cnnbrasil.com.br/branded-content/nacional/o-impacto-do-custo-brasil-na-economia-nacional/,CNN Brasil,2025-12-08 18:43:41
Juros altos travam o crescimento do Brasil,https://www.cnnbrasil.com.br/branded-content/nacional/juros-altos-travam-o-crescimento-do-brasil/,CNN Brasil,2025-12-08 18:43:41
Anec projeta aumento nas exportações de soja e milho do Brasil em dezembro,https://www.cnnbrasil.com.br/economia/agro/anec-projeta-aumento-nas-exportacoes-de-soja-e-milho-do-brasil-em-dezembro/,CNN Brasil,2025-12-08 18:43:41
"Bolsas da Europa fecham sem direção única, com cautela antes de Fed",https://www.cnnbrasil.com.br/economia/mercado/bolsas-da-europa-fecham-sem-direcao-unica-com-cautela-antes-de-fed-e-destaques-corporativos/,CNN Brasil,2025-12-08 18:43:41
Boeing e Airbus anunciam conclusão de operações envolvendo a Spirit,https://www.cnnbrasil.com.br/economia/negocios/boeing-conclui-aquisicao-da-spirit-e-airbus-incorpora-operacoes-em-4-paises/,CNN Brasil,2025-12-08 18:43:41
"Ouro fecha em queda, apesar de expectativa de corte de juros pelo Fed",https://www.cnnbrasil.com.br/economia/mercado/ouro-fecha-em-queda-apesar-de-expectativa-de-corte-de-juros-pelo-fed-na-semana/,CNN Brasil,2025-12-08 18:43:41
PIB: Brasil deixa lista das 10 maiores economias do mundo e cai para 11º,https://stories.cnnbrasil.com.br/economia/pib-brasil-deixa-lista-das-10-maiores-economias-do-mundo-e-cai-para-11%c2%ba/,CNN Brasil,2025-12-08 18:43:41
"Mercado de luxo no Brasil supera ritmo global, revela estudo",https://stories.cnnbrasil.com.br/economia/mercado-de-luxo-no-brasil-supera-ritmo-global-revela-estudo/,CNN Brasil,2025-12-08 18:43:41
Macroeconomia,https://www.cnnbrasil.com.br/economia/macroeconomia/,CNN Brasil,2025-12-08 18:43:41
Wall Street opera em leve baixa à espera de decisão do Fed sobre juros,https://www.cnnbrasil.com.br/economia/mercado/wall-street-opera-em-leve-baixa-a-espera-de-decisao-do-fed-sobre-juros/,CNN Brasil,2025-12-08 18:43:41
"XP: Queda de juros nos EUA e Brasil será ""poderosa"" para ativos brasileiros",https://www.cnnbrasil.com.br/economia/macroeconomia/xp-queda-de-juros-nos-eua-e-brasil-sera-poderosa-para-ativos-brasileiros/,CNN Brasil,2025-12-08 18:43:41
Ibovespa: Renner opera em alta após aprovar JCP e recompra de ações,https://www.cnnbrasil.com.br/economia/mercado/ibovespa-renner-opera-em-alta-apos-aprovar-jcp-e-recompra-de-acoes/,CNN Brasil,2025-12-08 18:43:41
Ações da IRB sobem mais de 10% após upgrade do JP Morgan,https://www.cnnbrasil.com.br/economia/mercado/acoes-da-irb-sobem-mais-de-10-apos-upgrade-do-jp-morgan/,CNN Brasil,2025-12-08 18:43:41
Bessent vê recuperação econômica dos EUA e forte queda na inflação em 2026,https://www.cnnbrasil.com.br/economia/macroeconomia/bessent-ve-recuperacao-economica-dos-eua-e-forte-queda-na-inflacao-em-2026/,CNN Brasil,2025-12-08 18:43:41
Investimentos,https://www.cnnbrasil.com.br/tudo-sobre/investimentos/,CNN Brasil,2025-12-08 18:43:41
Bolsa de Valores,https://www.cnnbrasil.com.br/tudo-sobre/bolsa-de-valores/,CNN Brasil,2025-12-08 18:43:41
Mercado Pago,https://especiaispublicitarios.g1.globo.com/vqt-mercado-pago/,G1 Economia,2025-12-08 18:43:42
Mercado Imobiliário,https://g1.globo.com/go/goias/mercado-imobiliario/,G1 Economia,2025-12-08 18:43:42
As ações que podem golear na Copa,https://lps.infomoney.com.br/relatorio-copa-do-mundo26-inscricao/?utm_source=infomoney&utm_medium=hot-topic&utm_campaign=rxp-gol&utm_term=hiperlink&utm_content=menu,InfoMoney Mercados,2025-12-08 18:43:48
Juros Futuros,https://www.infomoney.com.br/ferramentas/juros-futuros-di/,InfoMoney Mercados,2025-12-08 18:43:48
Indicadores de Inflação,https://www.infomoney.com.br/ferramentas/inflacao/,InfoMoney Mercados,2025-12-08 18:43:48
Simulador de Investimentos,https://www.infomoney.com.br/ferramentas/simulador-xp/,InfoMoney Mercados,2025-12-08 18:43:48
Bolsa brasileira perde R$ 183 bilhões com “efeito Flávio 2026”: veja maiores baixas,https://www.infomoney.com.br/mercados/bolsa-brasileira-perde-r-183-bilhoes-com-efeito-flavio-2026-veja-maiores-baixas/,InfoMoney Mercados,2025-12-08 18:43:48
Das máximas ao maior tombo desde 2021: o ânimo de fim de ano com o Ibovespa acabou?,https://www.infomoney.com.br/mercados/das-maximas-ao-maior-tombo-desde-2021-o-animo-de-fim-de-ano-com-o-ibovespa-acabou/,InfoMoney Mercados,2025-12-08 18:43:48
Renda Fixa DescomplicadaEntenda como aproveitar a alta dos juros para multiplicar o seu dinheiro,https://lps.infomoney.com.br/renda-fixa-descomplicada-inscricao?utm_source=infomoneyu0026utm_medium=contespu0026utm_campaign=rfdu0026utm_term=hiperlinku0026utm_content=subhome,InfoMoney Mercados,2025-12-08 18:43:48
Day trader perdeu R$ 400 mil até ganhar solidez de operação no mercado financeiro,https://www.infomoney.com.br/mercados/leandro-moore-da-perda-consistencia-perdi-r-400-mil-para-aprender/,InfoMoney Mercados,2025-12-08 18:43:48
"Klabin aprova R$ 1,1 bi em dividendos e aumento de capital com bonificação de ações",https://www.infomoney.com.br/mercados/klabin-aprova-r-11-bi-em-dividendos-e-aumento-de-capital-com-bonificacao-de-acoes/,InfoMoney Mercados,2025-12-08 18:43:48
"Ibovespa hoje sobe e recupera parte da queda de sexta, com Vale, Petrobras e bancos",https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-08122025/,InfoMoney Mercados,2025-12-08 18:43:48
O que acontece com Hapvida? Ações caem 6% nesta 2ª e acumulam baixa de 58% no ano,https://www.infomoney.com.br/mercados/hapv3-o-que-acontece-com-hapvida-acoes-caem-5-nesta-2a-e-acumulam-baixa-de-58-no-ano/,InfoMoney Mercados,2025-12-08 18:43:48
Copasa dá novo passo rumo à privatização com acordo em BH e ações CSMG3 sobem 4%,https://www.infomoney.com.br/mercados/copasa-da-novo-passo-rumo-a-privatizacao-com-acordo-para-estender-concessao-em-bh/,InfoMoney Mercados,2025-12-08 18:43:48
Ações da Warner sobem mais de 4% após proposta maior da Paramount; Netflix cai,https://www.infomoney.com.br/mercados/acoes-da-warner-saltam-7-apos-proposta-maior-da-paramount-netflix-cai-4/,InfoMoney Mercados,2025-12-08 18:43:48
"EXAME - Negócios, Economia, Tecnologia e Carreira",https://exame.com/,Exame Economia,2025-12-08 18:43:49
"Boletim Focus: mercado aumenta projeção do PIB em 2025, 2026 e 2027",https://exame.com/economia/boletim-focus-mercado-projeta-aumento-do-pib-em-2025-2026-e-2027/,Exame Economia,2025-12-08 18:43:49
Desacelaração da economia seguirá e reforça corte da Selic em janeiro,https://exame.com/economia/desacelaracao-da-economia-seguira-e-reforca-corte-da-selic-em-janeiro/,Exame Economia,2025-12-08 18:43:49
PIB do 3º trimestre deve reforçar desaceleração da economia,https://exame.com/economia/pib-do-3o-trimestre-deve-reforcar-desaceleracao-da-economia/,Exame Economia,2025-12-08 18:43:49
EconomiaMaior salário médio do Brasil: SP lidera criação de empregos no Brasil,https://exame.com/webstories/economia/maior-salario-medio-do-brasil-sp-lidera-criacao-de-empregos-no-brasil,Exame Economia,2025-12-08 18:43:49
EconomiaQual será o impacto das tarifas de Trump na economia do Brasil?,https://exame.com/webstories/economia/qual-sera-o-impacto-das-tarifas-de-trump-na-economia-do-brasil,Exame Economia,2025-12-08 18:43:49
EconomiaO que explica a menor taxa de desemprego no Brasil da história?,https://exame.com/webstories/economia/o-que-explica-a-menor-taxa-de-desemprego-no-brasil-da-historia,Exame Economia,2025-12-08 18:43:49
